state,DemocraticVote,DemocraticShare,RepublicanVote,RepublicanShare
Alabama,813479.00 ,0.39 ,1266546.00 ,0.60 
Alaska,123594.00 ,0.38 ,193841.00 ,0.59 
Arizona,1034707.00 ,0.45 ,1230111.00 ,0.54 
Arkansas,422310.00 ,0.39 ,638017.00 ,0.59 
California,8274473.00 ,0.61 ,5011781.00 ,0.37 
Colorado,1288633.00 ,0.54 ,1073629.00 ,0.45 
Connecticut,997772.00 ,0.61 ,629428.00 ,0.38 
Delaware,255459.00 ,0.62 ,152374.00 ,0.37 
District of Columbia,245800.00 ,0.92 ,17367.00 ,0.07 
Florida,4282074.00 ,0.51 ,4045624.00 ,0.48 
Georgia,1844123.00 ,0.47 ,2048759.00 ,0.52 
Hawaii,325871.00 ,0.72 ,120566.00 ,0.27 
Idaho,236440.00 ,0.36 ,403012.00 ,0.62 
Illinois,3419348.00 ,0.62 ,2031179.00 ,0.37 
Indiana,1374039.00 ,0.50 ,1345648.00 ,0.49 
Iowa,828940.00 ,0.54 ,682379.00 ,0.44 
Kansas,514765.00 ,0.42 ,699655.00 ,0.57 
Kentucky,751985.00 ,0.41 ,1048462.00 ,0.57 
Louisiana,782989.00 ,0.40 ,1148275.00 ,0.59 
Maine†,421923.00 ,0.58 ,295273.00 ,0.40 
Maryland,1629467.00 ,0.62 ,959862.00 ,0.36 
Massachusetts,1904097.00 ,0.62 ,1108854.00 ,0.36 
Michigan,2872579.00 ,0.57 ,2048639.00 ,0.41 
Minnesota,1573354.00 ,0.54 ,1275409.00 ,0.44 
Mississippi,554662.00 ,0.43 ,724597.00 ,0.56 
Missouri,1441911.00 ,0.49 ,1445814.00 ,0.49 
Montana,231667.00 ,0.47 ,242763.00 ,0.50 
Nebraska†,333319.00 ,0.42 ,452979.00 ,0.57 
Nevada,533736.00 ,0.55 ,412827.00 ,0.43 
New Hampshire,384826.00 ,0.54 ,316534.00 ,0.45 
New Jersey,2215422.00 ,0.57 ,1613207.00 ,0.42 
New Mexico,472422.00 ,0.57 ,346832.00 ,0.42 
New York,4804945.00 ,0.63 ,2752771.00 ,0.36 
North Carolina,2142651.00 ,0.50 ,2128474.00 ,0.49 
North Dakota,141278.00 ,0.45 ,168601.00 ,0.53 
Ohio,2940044.00 ,0.52 ,2677820.00 ,0.47 
Oklahoma,502496.00 ,0.34 ,960165.00 ,0.66 
Oregon,1037291.00 ,0.57 ,738475.00 ,0.40 
Pennsylvania,3276363.00 ,0.54 ,2655885.00 ,0.44 
Rhode Island,296571.00 ,0.63 ,165391.00 ,0.35 
South Carolina,862449.00 ,0.45 ,1034896.00 ,0.54 
South Dakota,170924.00 ,0.45 ,203054.00 ,0.53 
Tennessee,1087437.00 ,0.42 ,1479178.00 ,0.57 
Texas,3528633.00 ,0.44 ,4479328.00 ,0.55 
Utah,327670.00 ,0.34 ,596030.00 ,0.63 
Vermont,219262.00 ,0.67 ,98974.00 ,0.30 
Virginia,1959532.00 ,0.53 ,1725005.00 ,0.46 
Washington,1750848.00 ,0.58 ,1229216.00 ,0.40 
West Virginia,303857.00 ,0.43 ,397466.00 ,0.56 
Wisconsin,1677211.00 ,0.56 ,1262393.00 ,0.42 
Wyoming,82868.00 ,0.33 ,164958.00 ,0.65 